"Номер";"Наименование водного объекта";"Азот нитритный";"Азот аммонийный";"Азот нитратный";"Фенол";"Нефтепродукты";"Органические вещества (по ХПК)";"Железо";"Медь";"Цинк";"Марганец";"БПК5";"Период наблюдений";"Дата модификации"
"247";"р. Тобол, в створе с. Коркино, превышение ПДК";"в пределах нормы";"Выше ПДК";"в пределах нормы";"Выше ПДК";"в пределах нормы";"-";" ";" ";" ";" ";" ";"20.12.2016";"17.01.2017 17:39:13"
"248";"р. Тобол, выше г. Ялуторовска, превышение ПДК";"Выше ПДК";"в пределах нормы";"в пределах нормы";"Выше ПДК";"Выше ПДК";"-";" ";" ";" ";" ";" ";"20.12.2016";"17.01.2017 17:40:14"
"249";"р. Тобол, ниже г. Ялуторовска, превышение ПДК";"Выше ПДК";"в пределах нормы";"в пределах нормы";"Выше ПДК";"Выше ПДК";"-";" ";" ";" ";" ";" ";"20.12.2016";"17.01.2017 17:41:40"
"250";"р. Тура, в створе с. Салаирка, превышение ПДК";"Выше ПДК";"Выше ПДК";"в пределах нормы";"в пределах нормы";"Выше ПДК";"-";" ";" ";" ";"42,62";" ";"20.01.2017";"16.12.2020 12:52:10"
"251";"р. Тура, в створе с. Салаирка, превышение ПДК";"Выше ПДК";"в пределах нормы";"в пределах нормы";"Выше ПДК";"в пределах нормы";"-";" ";" ";" ";"47,29";" ";"20.02.2017";"16.12.2020 12:53:05"
"252";"р. Тура, в створе с. Салаирка, превышение ПДК";"Выше ПДК";"в пределах нормы";"в пределах нормы";"Выше ПДК";"в пределах нормы";"-";" ";" ";" ";"43,24";" ";"20.03.2017";"16.12.2020 12:55:05"
"253";"р. Тура, в створе с. Салаирка, превышение ПДК";"Выше ПДК";"Выше ПДК";"в пределах нормы";"Выше ПДК";"в пределах нормы";"-";" ";" ";" ";"34,71";" ";"20.04.2017";"16.12.2020 12:56:56"
"254";"р. Тура, в створе с. Салаирка, превышение ПДК";"в пределах нормы";"Выше ПДК";"в пределах нормы";"Выше ПДК";"Выше ПДК";"-";" ";" ";" ";" ";" ";"22.05.2017";"10.08.2017 14:19:17"
"255";"р. Тура, в створе с. Салаирка, превышение ПДК";"в пределах нормы";"Выше ПДК";"в пределах нормы";"Выше ПДК";"в пределах нормы";"-";" ";" ";" ";" ";" ";"20.06.2017";"10.08.2017 14:19:45"
"256";"р. Тура, в створе с. Салаирка, превышение ПДК";"в пределах нормы";"Выше ПДК";"в пределах нормы";"Выше ПДК";"в пределах нормы";"-";" ";" ";" ";" ";" ";"20.07.2017";"07.09.2017 11:57:21"
"257";"р. Тура, выше г. Тюмени, превышение ПДК";"Выше ПДК";"Выше ПДК";"в пределах нормы";"Выше ПДК";"в пределах нормы";"-";" ";" ";" ";"31,91";" ";"20.01.2017";"16.12.2020 12:51:40"
"258";"р. Тура, выше г. Тюмени, превышение ПДК";"Выше ПДК";"Выше ПДК";"в пределах нормы";"Выше ПДК";"в пределах нормы";"-";" ";" ";" ";"44,53";" ";"20.02.2017";"16.12.2020 12:53:23"
"259";"р. Тура, выше г. Тюмени, превышение ПДК";"Выше ПДК";"Выше ПДК";"в пределах нормы";"Выше ПДК";"в пределах нормы";"-";" ";" ";" ";"45,89";" ";"20.03.2017";"16.12.2020 12:55:25"
"260";"р. Тура, выше г. Тюмени, превышение ПДК";"в пределах нормы";"Выше ПДК";"в пределах нормы";"Выше ПДК";"Выше ПДК";"-";" ";" ";" ";"34,52";" ";"20.04.2017";"16.12.2020 12:57:16"
"261";"р. Тура, выше г. Тюмени, превышение ПДК";"в пределах нормы";"Выше ПДК";"в пределах нормы";"Выше ПДК";"Выше ПДК";"-";" ";" ";" ";" ";" ";"22.05.2017";"10.08.2017 14:30:21"
"262";"р. Тура, выше г. Тюмени, превышение ПДК";"в пределах нормы";"Выше ПДК";"в пределах нормы";"Выше ПДК";"Выше ПДК";"-";" ";" ";" ";" ";" ";"20.06.2017";"10.08.2017 14:31:06"
"263";"р. Тура, выше г. Тюмени, превышение ПДК";"в пределах нормы";"Выше ПДК";"в пределах нормы";"Выше ПДК";"в пределах нормы";"-";" ";" ";" ";" ";" ";"20.07.2017";"10.08.2017 14:31:28"
"264";"р. Тура, ниже г. Тюмени, превышение ПДК";"Выше ПДК";"Выше ПДК";"в пределах нормы";"Выше ПДК";"в пределах нормы";"-";" ";" ";" ";"33,88";" ";"20.01.2017";"16.12.2020 12:51:54"
"265";"р. Тура, ниже г. Тюмени, превышение ПДК";"Выше ПДК";"Выше ПДК";"в пределах нормы";"Выше ПДК";"в пределах нормы";"-";" ";" ";" ";"46,02";" ";"20.02.2017";"16.12.2020 12:53:38"
"266";"р. Тура, ниже г. Тюмени, превышение ПДК";"Выше ПДК";"Выше ПДК";"в пределах нормы";"Выше ПДК";"в пределах нормы";"-";" ";" ";" ";"38,7";" ";"20.03.2017";"16.12.2020 12:55:43"
"267";"р. Тура, ниже г. Тюмени, превышение ПДК";"в пределах нормы";"Выше ПДК";"в пределах нормы";"Выше ПДК";"Выше ПДК";"-";" ";" ";" ";"38,01";" ";"20.04.2017";"16.12.2020 12:57:35"
"268";"р. Тура, ниже г. Тюмени, превышение ПДК";"в пределах нормы";"Выше ПДК";"в пределах нормы";"Выше ПДК";"Выше ПДК";"-";" ";" ";" ";" ";" ";"22.05.2017";"10.08.2017 14:51:54"
"269";"р. Тура, ниже г. Тюмени, превышение ПДК";"в пределах нормы";"Выше ПДК";"в пределах нормы";"Выше ПДК";"Выше ПДК";"-";" ";" ";" ";" ";" ";"20.06.2017";"10.08.2017 14:52:19"
"270";"р. Тура, ниже г. Тюмени, превышение ПДК";"в пределах нормы";"Выше ПДК";"в пределах нормы";"Выше ПДК";"в пределах нормы";"-";" ";" ";" ";" ";" ";"20.07.2017";"10.08.2017 14:52:41"
"271";"р. Тура, в створе с. Покровское, превышение ПДК";"Выше ПДК";"Выше ПДК";"в пределах нормы";"Выше ПДК";"Выше ПДК";"-";" ";" ";" ";"38,56";" ";"20.04.2017";"16.12.2020 12:58:12"
"272";"р. Тура, в створе с. Покровское, превышение ПДК";"в пределах нормы";"Выше ПДК";"в пределах нормы";"в пределах нормы";"в пределах нормы";"-";" ";" ";" ";" ";" ";"22.05.2017";"10.08.2017 15:07:53"
"273";"р. Тура, в створе с. Покровское, превышение ПДК";"в пределах нормы";"Выше ПДК";"в пределах нормы";"в пределах нормы";"Выше ПДК";"-";" ";" ";" ";" ";" ";"20.06.2017";"10.08.2017 15:08:20"
"274";"р. Тура, в створе с. Покровское, превышение ПДК";"в пределах нормы";"Выше ПДК";"в пределах нормы";"в пределах нормы";"Выше ПДК";"-";" ";" ";" ";" ";" ";"20.07.2017";"10.08.2017 15:08:41"
"275";"р. Ишим, в створе с. Ильинское, превышение ПДК";"в пределах нормы";"в пределах нормы";"в пределах нормы";"Выше ПДК";"в пределах нормы";"-";" ";" ";" ";" ";" ";"20.01.2017";"10.08.2017 15:12:20"
"276";"р. Ишим, в створе с. Ильинское, превышение ПДК";"в пределах нормы";"в пределах нормы";"в пределах нормы";"Выше ПДК";"в пределах нормы";"-";" ";" ";" ";" ";" ";"20.02.2017";"10.08.2017 15:12:54"
"277";"р. Ишим, в створе с. Ильинское, превышение ПДК";"в пределах нормы";"в пределах нормы";"в пределах нормы";"Выше ПДК";"в пределах нормы";"-";" ";" ";" ";" ";" ";"20.03.2017";"10.08.2017 15:23:57"
"278";"р. Ишим, в створе с. Ильинское, превышение ПДК";"в пределах нормы";"Выше ПДК";"в пределах нормы";"Выше ПДК";"в пределах нормы";"-";" ";" ";" ";" ";" ";"20.04.2017";"10.08.2017 15:24:21"
"279";"р. Ишим, в створе с. Ильинское, превышение ПДК";"в пределах нормы";"в пределах нормы";"в пределах нормы";"Выше ПДК";"Выше ПДК";"-";" ";" ";" ";" ";" ";"22.05.2017";"10.08.2017 15:24:47"
"280";"р. Ишим, в створе с. Ильинское, превышение ПДК";"в пределах нормы";"в пределах нормы";"в пределах нормы";"в пределах нормы";"Выше ПДК";"-";" ";" ";" ";" ";" ";"20.06.2017";"10.08.2017 15:25:10"
"281";"р. Ишим, в створе с. Ильинское, превышение ПДК";"в пределах нормы";"Выше ПДК";"в пределах нормы";"Выше ПДК";"Выше ПДК";"-";" ";" ";" ";" ";" ";"20.07.2017";"10.08.2017 15:25:49"
"282";"р. Ишим, выше г. Ишима, превышение ПДК";"в пределах нормы";"Выше ПДК";"в пределах нормы";"Выше ПДК";"в пределах нормы";"-";" ";" ";" ";" ";" ";"20.01.2017";"10.08.2017 16:28:51"
"283";"р. Ишим, выше г. Ишима, превышение ПДК";"в пределах нормы";"в пределах нормы";"в пределах нормы";"Выше ПДК";"в пределах нормы";"-";" ";" ";" ";" ";" ";"20.02.2017";"10.08.2017 16:29:16"
"284";"р. Ишим, выше г. Ишима, превышение ПДК";"в пределах нормы";"в пределах нормы";"в пределах нормы";"Выше ПДК";"в пределах нормы";"-";" ";" ";" ";" ";" ";"20.03.2017";"10.08.2017 16:29:40"
"285";"р. Ишим, выше г. Ишима, превышение ПДК";"в пределах нормы";"Выше ПДК";"в пределах нормы";"Выше ПДК";"в пределах нормы";"-";" ";" ";" ";" ";" ";"20.04.2017";"10.08.2017 16:30:08"
"286";"р. Ишим, выше г. Ишима, превышение ПДК";"в пределах нормы";"Выше ПДК";"в пределах нормы";"в пределах нормы";"Выше ПДК";"-";" ";" ";" ";" ";" ";"22.05.2017";"10.08.2017 16:30:41"
"287";"р. Ишим, выше г. Ишима, превышение ПДК";"в пределах нормы";"Выше ПДК";"в пределах нормы";"в пределах нормы";"Выше ПДК";"-";" ";" ";" ";" ";" ";"20.06.2017";"10.08.2017 16:31:06"
"288";"р. Ишим, выше г. Ишима, превышение ПДК";"в пределах нормы";"Выше ПДК";"в пределах нормы";"в пределах нормы";"Выше ПДК";"-";" ";" ";" ";" ";" ";"20.07.2017";"10.08.2017 16:31:30"
"289";"р. Ишим, ниже г. Ишима, превышение ПДК";"в пределах нормы";"Выше ПДК";"в пределах нормы";"Выше ПДК";"в пределах нормы";"-";" ";" ";" ";" ";" ";"20.01.2017";"10.08.2017 16:59:58"
"290";"р. Ишим, ниже г. Ишима, превышение ПДК";"в пределах нормы";"в пределах нормы";"в пределах нормы";"Выше ПДК";"в пределах нормы";"-";" ";" ";" ";" ";" ";"20.02.2017";"10.08.2017 17:01:21"
"291";"р. Ишим, ниже г. Ишима, превышение ПДК";"в пределах нормы";"в пределах нормы";"в пределах нормы";"Выше ПДК";"в пределах нормы";"-";" ";" ";" ";" ";" ";"20.03.2017";"10.08.2017 17:02:51"
"292";"р. Ишим, ниже г. Ишима, превышение ПДК";"в пределах нормы";"Выше ПДК";"в пределах нормы";"Выше ПДК";"в пределах нормы";"-";" ";" ";" ";" ";" ";"20.04.2017";"10.08.2017 17:03:16"
"293";"р. Ишим, ниже г. Ишима, превышение ПДК";"в пределах нормы";"Выше ПДК";"в пределах нормы";"в пределах нормы";"Выше ПДК";"-";" ";" ";" ";" ";" ";"22.05.2017";"10.08.2017 17:03:41"
"294";"р. Ишим, ниже г. Ишима, превышение ПДК";"в пределах нормы";"в пределах нормы";"в пределах нормы";"Выше ПДК";"Выше ПДК";"-";" ";" ";" ";" ";" ";"20.06.2017";"10.08.2017 17:04:03"
"295";"р. Ишим, ниже г. Ишима, превышение ПДК";"в пределах нормы";"Выше ПДК";"в пределах нормы";"в пределах нормы";"Выше ПДК";"-";" ";" ";" ";" ";" ";"20.07.2017";"10.08.2017 17:05:17"
"296";"р. Ишим, в створе с. Абатское, превышение ПДК";"в пределах нормы";"Выше ПДК";"в пределах нормы";"Выше ПДК";"в пределах нормы";"-";" ";" ";" ";" ";" ";"20.04.2017";"10.08.2017 17:06:25"
"297";"р. Ишим, в створе с. Абатское, превышение ПДК";"в пределах нормы";"Выше ПДК";"в пределах нормы";"в пределах нормы";"в пределах нормы";"-";" ";" ";" ";" ";" ";"22.05.2017";"10.08.2017 17:06:50"
"298";"р. Ишим, в створе с. Абатское, превышение ПДК";"в пределах нормы";"в пределах нормы";"в пределах нормы";"в пределах нормы";"Выше ПДК";"-";" ";" ";" ";" ";" ";"20.06.2017";"10.08.2017 17:07:40"
"299";"р. Ишим, в створе с. Абатское, превышение ПДК";"в пределах нормы";"Выше ПДК";"в пределах нормы";"в пределах нормы";"Выше ПДК";"-";" ";" ";" ";" ";" ";"20.07.2017";"10.08.2017 17:08:06"
"300";"р. Тобол, в створе с. Коркино, превышение ПДК";"Выше ПДК";"Выше ПДК";"в пределах нормы";"в пределах нормы";"в пределах нормы";"-";" ";" ";" ";" ";" ";"20.01.2017";"11.08.2017 11:24:18"
"301";"р. Тобол, в створе с. Коркино, превышение ПДК";"в пределах нормы";"Выше ПДК";"в пределах нормы";"в пределах нормы";"в пределах нормы";"-";" ";" ";" ";"48,27";" ";"20.02.2017";"16.12.2020 12:54:46"
"302";"р. Тобол, в створе с. Коркино, превышение ПДК";"в пределах нормы";"в пределах нормы";"в пределах нормы";"в пределах нормы";"Выше ПДК";"-";" ";" ";" ";" ";" ";"20.03.2017";"11.08.2017 11:25:07"
"303";"р. Тобол, в створе с. Коркино, превышение ПДК";"Выше ПДК";"Выше ПДК";"в пределах нормы";"в пределах нормы";"Выше ПДК";"-";" ";" ";" ";"36,09";" ";"20.04.2017";"16.12.2020 12:59:15"
"304";"р. Тобол, в створе с. Коркино, превышение ПДК";"в пределах нормы";"Выше ПДК";"в пределах нормы";"Выше ПДК";"Выше ПДК";"-";" ";" ";" ";" ";" ";"22.05.2017";"11.08.2017 11:26:25"
"305";"р. Тобол, в створе с. Коркино, превышение ПДК";"в пределах нормы";"Выше ПДК";"в пределах нормы";"в пределах нормы";"в пределах нормы";"-";" ";" ";" ";" ";" ";"20.06.2017";"11.08.2017 11:26:51"
"306";"р. Тобол, в створе с. Коркино, превышение ПДК";"в пределах нормы";"в пределах нормы";"в пределах нормы";"в пределах нормы";"Выше ПДК";"-";" ";" ";" ";" ";" ";"20.07.2017";"11.08.2017 11:27:27"
"307";"р. Тобол, выше г. Ялуторовска, превышение ПДК";"Выше ПДК";"в пределах нормы";"в пределах нормы";"Выше ПДК";"Выше ПДК";"-";" ";" ";" ";"36,19";" ";"20.01.2017";"16.12.2020 12:52:27"
"308";"р. Тобол, выше г. Ялуторовска, превышение ПДК";"Выше ПДК";"Выше ПДК";"в пределах нормы";"в пределах нормы";"в пределах нормы";"-";" ";" ";" ";"34,49";" ";"20.02.2017";"16.12.2020 12:54:14"
"309";"р. Тобол, выше г. Ялуторовска, превышение ПДК";"Выше ПДК";"Выше ПДК";"в пределах нормы";"Выше ПДК";"в пределах нормы";"-";" ";" ";" ";"54,2";" ";"20.03.2017";"16.12.2020 12:56:21"
"310";"р. Тобол, выше г. Ялуторовска, превышение ПДК";"Выше ПДК";"Выше ПДК";"в пределах нормы";"Выше ПДК";"в пределах нормы";"-";" ";" ";" ";"37,04";" ";"20.04.2017";"16.12.2020 12:59:38"
"311";"р. Тобол, выше г. Ялуторовска, превышение ПДК";"в пределах нормы";"Выше ПДК";"в пределах нормы";"в пределах нормы";"в пределах нормы";"-";" ";" ";" ";" ";" ";"22.05.2017";"11.08.2017 11:30:51"
"312";"р. Тобол, выше г. Ялуторовска, превышение ПДК";"в пределах нормы";"Выше ПДК";"в пределах нормы";"в пределах нормы";"в пределах нормы";"-";" ";" ";" ";" ";" ";"20.06.2017";"11.08.2017 11:31:15"
"313";"р. Тобол, выше г. Ялуторовска, превышение ПДК";"в пределах нормы";"Выше ПДК";"в пределах нормы";"в пределах нормы";"Выше ПДК";"-";" ";" ";" ";" ";" ";"20.07.2017";"11.08.2017 11:31:39"
"314";"р. Тобол, ниже г. Ялуторовска, превышение ПДК";"Выше ПДК";"в пределах нормы";"в пределах нормы";"Выше ПДК";"Выше ПДК";"-";" ";" ";" ";"39,59";" ";"20.01.2017";"16.12.2020 12:52:43"
"315";"р. Тобол, ниже г. Ялуторовска, превышение ПДК";"Выше ПДК";"Выше ПДК";"в пределах нормы";"в пределах нормы";"в пределах нормы";"-";" ";" ";" ";"46,5";" ";"20.02.2017";"16.12.2020 12:54:30"
"316";"р. Тобол, ниже г. Ялуторовска, превышение ПДК";"Выше ПДК";"Выше ПДК";"в пределах нормы";"Выше ПДК";"в пределах нормы";"-";" ";" ";" ";"60,86";" ";"20.03.2017";"16.12.2020 12:56:36"
"317";"р. Тобол, ниже г. Ялуторовска, превышение ПДК";"Выше ПДК";"Выше ПДК";"в пределах нормы";"Выше ПДК";"в пределах нормы";"-";" ";" ";" ";"34,99";" ";"20.04.2017";"16.12.2020 12:59:58"
"318";"р. Тобол, ниже г. Ялуторовска, превышение ПДК";"в пределах нормы";"Выше ПДК";"в пределах нормы";"в пределах нормы";"в пределах нормы";"-";" ";" ";" ";" ";" ";"22.05.2017";"11.08.2017 11:54:41"
"319";"р. Тобол, ниже г. Ялуторовска, превышение ПДК";"в пределах нормы";"Выше ПДК";"в пределах нормы";"в пределах нормы";"в пределах нормы";"-";" ";" ";" ";" ";" ";"20.06.2017";"11.08.2017 11:55:27"
"320";"р. Тобол, ниже г. Ялуторовска, превышение ПДК";"в пределах нормы";"Выше ПДК";"в пределах нормы";"в пределах нормы";"Выше ПДК";"-";" ";" ";" ";" ";" ";"20.07.2017";"11.08.2017 11:55:56"
"321";"р. Тобол, в створе с. Иевлево, превышение ПДК";"Выше ПДК";"Выше ПДК";"в пределах нормы";"Выше ПДК";"в пределах нормы";"-";" ";" ";" ";"46,68";" ";"20.04.2017";"16.12.2020 13:00:20"
"322";"р. Тобол, в створе с. Иевлево, превышение ПДК";"в пределах нормы";"в пределах нормы";"в пределах нормы";"в пределах нормы";"в пределах нормы";"-";" ";" ";" ";" ";" ";"22.05.2017";"11.08.2017 11:58:15"
"323";"р. Тобол, в створе с. Иевлево, превышение ПДК";"в пределах нормы";"Выше ПДК";"в пределах нормы";"в пределах нормы";"Выше ПДК";"-";" ";" ";" ";" ";" ";"20.06.2017";"11.08.2017 11:58:39"
"324";"р. Тобол, в створе с. Иевлево, превышение ПДК";"в пределах нормы";"Выше ПДК";"в пределах нормы";"в пределах нормы";"Выше ПДК";"-";" ";" ";" ";" ";" ";"20.07.2017";"11.08.2017 11:58:59"
"325";"р. Тура, в створе с. Салаирка, превышение ПДК";"Выше ПДК";"Выше ПДК";"в пределах нормы";"в пределах нормы";"в пределах нормы";"-";" ";" ";" ";" ";" ";"21.08.2017";"07.09.2017 11:58:34"
"326";"р. Тура, выше г. Тюмени, превышение ПДК";"Выше ПДК";"Выше ПДК";"в пределах нормы";"в пределах нормы";"в пределах нормы";"-";" ";" ";" ";" ";" ";"21.08.2017";"07.09.2017 11:59:01"
"327";"р. Тура, ниже г. Тюмени, превышение ПДК";"Выше ПДК";"Выше ПДК";"в пределах нормы";"в пределах нормы";"в пределах нормы";"-";" ";" ";" ";" ";" ";"21.08.2017";"07.09.2017 11:59:23"
"328";"р. Тура, в створе с. Покровское, превышение ПДК";"в пределах нормы";"Выше ПДК";"в пределах нормы";"в пределах нормы";"Выше ПДК";"-";" ";" ";" ";" ";" ";"21.08.2017";"07.09.2017 12:00:16"
"329";"р. Ишим, в створе с. Ильинское, превышение ПДК";"Выше ПДК";"Выше ПДК";"в пределах нормы";"в пределах нормы";"Выше ПДК";"-";" ";" ";" ";" ";" ";"21.08.2017";"07.09.2017 12:00:53"
"330";"р. Ишим, выше г. Ишима, превышение ПДК";"в пределах нормы";"Выше ПДК";"в пределах нормы";"в пределах нормы";"Выше ПДК";"-";" ";" ";" ";" ";" ";"21.08.2017";"07.09.2017 12:01:25"
"331";"р. Ишим, ниже г. Ишима, превышение ПДК";"в пределах нормы";"Выше ПДК";"в пределах нормы";"в пределах нормы";"Выше ПДК";"-";" ";" ";" ";" ";" ";"21.08.2017";"07.09.2017 12:01:56"
"332";"р. Ишим, в створе с. Абатское, превышение ПДК";"Выше ПДК";"Выше ПДК";"в пределах нормы";"Выше ПДК";"Выше ПДК";"-";" ";" ";" ";" ";" ";"21.08.2017";"07.09.2017 12:02:35"
"333";"р. Тобол, в створе с. Коркино, превышение ПДК";"Выше ПДК";"Выше ПДК";"в пределах нормы";"в пределах нормы";"Выше ПДК";"-";" ";" ";" ";" ";" ";"21.08.2017";"07.09.2017 12:03:10"
"334";"р. Тобол, выше г. Ялуторовска, превышение ПДК";"Выше ПДК";"Выше ПДК";"в пределах нормы";"Выше ПДК";"Выше ПДК";"-";" ";" ";" ";" ";" ";"21.08.2017";"07.09.2017 12:03:46"
"335";"р. Тобол, ниже г. Ялуторовска, превышение ПДК";"Выше ПДК";"Выше ПДК";"в пределах нормы";"Выше ПДК";"Выше ПДК";"-";" ";" ";" ";" ";" ";"21.08.2017";"07.09.2017 12:04:12"
"336";"р. Тобол, в створе с. Иевлево, превышение ПДК";"Выше ПДК";"Выше ПДК";"в пределах нормы";"Выше ПДК";"Выше ПДК";"-";" ";" ";" ";" ";" ";"21.08.2017";"07.09.2017 12:04:42"
"337";"р. Тура, в створе с. Салаирка, превышение ПДК";"в пределах нормы";"Выше ПДК";"в пределах нормы";"в пределах нормы";"в пределах нормы";"-";" ";" ";" ";" ";" ";"20.12.2017";"11.01.2018 16:59:08"
"338";"р. Тура, в створе с. Салаирка, превышение ПДК";"в пределах нормы";"Выше ПДК";"в пределах нормы";"Выше ПДК";"в пределах нормы";"-";" ";" ";" ";" ";" ";"20.09.2017";"11.01.2018 17:01:44"
"339";"р. Тура, в створе с. Салаирка, превышение ПДК";"в пределах нормы";"в пределах нормы";"в пределах нормы";"Выше ПДК";"в пределах нормы";"-";" ";" ";" ";" ";" ";"20.10.2017";"11.01.2018 17:02:40"
"340";"р. Тура, в створе с. Салаирка, превышение ПДК";"в пределах нормы";"Выше ПДК";"в пределах нормы";"в пределах нормы";"в пределах нормы";"-";" ";" ";" ";" ";" ";"20.11.2017";"11.01.2018 17:03:15"
"341";"р. Тура, выше г. Тюмени, превышение ПДК";"в пределах нормы";"Выше ПДК";"в пределах нормы";"Выше ПДК";"в пределах нормы";"-";" ";" ";" ";" ";" ";"20.09.2017";"11.01.2018 17:04:18"
"342";"р. Тура, выше г. Тюмени, превышение ПДК";"в пределах нормы";"в пределах нормы";"в пределах нормы";"Выше ПДК";"Выше ПДК";"-";" ";" ";" ";" ";" ";"20.10.2017";"11.01.2018 17:04:51"
"343";"р. Тура, выше г. Тюмени, превышение ПДК";"в пределах нормы";"Выше ПДК";"в пределах нормы";"в пределах нормы";"в пределах нормы";"-";" ";" ";" ";" ";" ";"20.11.2017";"11.01.2018 17:06:33"
"344";"р. Тура, выше г. Тюмени, превышение ПДК";"Выше ПДК";"Выше ПДК";"в пределах нормы";"в пределах нормы";"в пределах нормы";"-";" ";" ";" ";" ";" ";"20.12.2017";"11.01.2018 17:07:36"
"345";"р. Тура, ниже г. Тюмени, превышение ПДК";"в пределах нормы";"Выше ПДК";"в пределах нормы";"Выше ПДК";"в пределах нормы";"-";" ";" ";" ";" ";" ";"20.09.2017";"11.01.2018 17:09:49"
"346";"р. Тура, ниже г. Тюмени, превышение ПДК";"в пределах нормы";"Выше ПДК";"в пределах нормы";"Выше ПДК";"Выше ПДК";"-";" ";" ";" ";" ";" ";"20.10.2017";"11.01.2018 17:10:33"
"347";"р. Тура, ниже г. Тюмени, превышение ПДК";"в пределах нормы";"Выше ПДК";"в пределах нормы";"в пределах нормы";"в пределах нормы";"-";" ";" ";" ";" ";" ";"20.11.2017";"11.01.2018 17:11:14"
"348";"р. Тура, ниже г. Тюмени, превышение ПДК";"Выше ПДК";"Выше ПДК";"в пределах нормы";"в пределах нормы";"в пределах нормы";"-";" ";" ";" ";" ";" ";"20.12.2017";"11.01.2018 17:13:04"
"349";"р. Тура, в створе с. Покровское, превышение ПДК";"в пределах нормы";"в пределах нормы";"в пределах нормы";"в пределах нормы";"в пределах нормы";"-";" ";" ";" ";" ";" ";"20.10.2017";"11.01.2018 17:29:41"
"350";"р. Ишим, в створе с. Ильинское, превышение ПДК";"Выше ПДК";"в пределах нормы";"в пределах нормы";"Выше ПДК";"в пределах нормы";"-";" ";" ";" ";" ";" ";"20.09.2017";"12.01.2018 16:01:41"
"351";"р. Ишим, в створе с. Ильинское, превышение ПДК";"в пределах нормы";"в пределах нормы";"в пределах нормы";"в пределах нормы";"Выше ПДК";"-";" ";" ";" ";" ";" ";"20.10.2017";"12.01.2018 16:02:13"
"352";"р. Ишим, в створе с. Ильинское, превышение ПДК";"в пределах нормы";"в пределах нормы";"в пределах нормы";"Выше ПДК";"Выше ПДК";"-";" ";" ";" ";" ";" ";"20.11.2017";"12.01.2018 16:02:43"
"353";"р. Ишим, в створе с. Ильинское, превышение ПДК";"в пределах нормы";"в пределах нормы";"в пределах нормы";"Выше ПДК";"в пределах нормы";"-";" ";" ";" ";" ";" ";"20.12.2017";"12.01.2018 16:03:11"
"354";"р. Ишим, выше г. Ишима, превышение ПДК";"в пределах нормы";"в пределах нормы";"в пределах нормы";"в пределах нормы";"Выше ПДК";"-";" ";" ";" ";" ";" ";"20.09.2017";"12.01.2018 16:03:52"
"355";"р. Ишим, выше г. Ишима, превышение ПДК";"в пределах нормы";"в пределах нормы";"в пределах нормы";"в пределах нормы";"в пределах нормы";"-";" ";" ";" ";" ";" ";"20.10.2017";"12.01.2018 16:04:22"
"356";"р. Ишим, выше г. Ишима, превышение ПДК";"в пределах нормы";"в пределах нормы";"в пределах нормы";"в пределах нормы";"в пределах нормы";"-";" ";" ";" ";" ";" ";"20.11.2017";"12.01.2018 16:04:50"
"357";"р. Ишим, выше г. Ишима, превышение ПДК";"в пределах нормы";"в пределах нормы";"в пределах нормы";"Выше ПДК";"в пределах нормы";"-";" ";" ";" ";" ";" ";"20.12.2017";"12.01.2018 16:05:23"
"358";"р. Ишим, ниже г. Ишима, превышение ПДК";"в пределах нормы";"Выше ПДК";"в пределах нормы";"в пределах нормы";"Выше ПДК";"-";" ";" ";" ";" ";" ";"20.09.2017";"12.01.2018 16:06:05"
"359";"р. Ишим, ниже г. Ишима, превышение ПДК";"в пределах нормы";"в пределах нормы";"в пределах нормы";"в пределах нормы";"Выше ПДК";"-";" ";" ";" ";" ";" ";"20.10.2017";"12.01.2018 16:06:44"
"360";"р. Ишим, ниже г. Ишима, превышение ПДК";"в пределах нормы";"в пределах нормы";"в пределах нормы";"в пределах нормы";"Выше ПДК";"-";" ";" ";" ";" ";" ";"20.11.2017";"12.01.2018 16:07:16"
"361";"р. Ишим, ниже г. Ишима, превышение ПДК";"в пределах нормы";"в пределах нормы";"в пределах нормы";"в пределах нормы";"Выше ПДК";"-";" ";" ";" ";" ";" ";"20.12.2017";"12.01.2018 16:10:03"
"362";"р. Ишим, в створе с. Абатское, превышение ПДК";"в пределах нормы";"в пределах нормы";"в пределах нормы";"Выше ПДК";"Выше ПДК";"-";" ";" ";" ";" ";" ";"20.10.2017";"12.01.2018 16:10:46"
"363";"р. Тобол, в створе с. Коркино, превышение ПДК";"в пределах нормы";"Выше ПДК";"в пределах нормы";"в пределах нормы";"в пределах нормы";"-";" ";" ";" ";" ";" ";"20.09.2017";"12.01.2018 16:11:54"
"364";"р. Тобол, в створе с. Коркино, превышение ПДК";"в пределах нормы";"в пределах нормы";"в пределах нормы";"в пределах нормы";"Выше ПДК";"-";" ";" ";" ";" ";" ";"20.10.2017";"12.01.2018 16:12:24"
"365";"р. Тобол, в створе с. Коркино, превышение ПДК";"в пределах нормы";"в пределах нормы";"в пределах нормы";"в пределах нормы";"Выше ПДК";"-";" ";" ";" ";" ";" ";"20.11.2017";"12.01.2018 16:12:54"
